parameter,raw_value,source_description,source_id,status,device_attribution,observation_time,operational_use
P017,1,Continuous smoothing,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P018,0,Automatic restart after fault disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P019,2,Skip-frequency bandwidth (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P021,0,Minimum analogue frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P022,60,Maximum analogue frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P023,0,Analogue input 1 type - 0-10 V / 0-20 mA,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P024,0,No analogue setpoint addition,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P025,0,Analogue output 1 - output frequency,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P027,0,Skip frequency 2 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P028,0,Skip frequency 3 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P029,0,Skip frequency 4 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P031,60,Jog frequency right (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P032,5,Jog frequency left (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P033,1,Jog ramp-up time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P034,1,Jog ramp-down time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P040,0,Positioning function disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P041,0,Fixed frequency 1 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P042,0,Fixed frequency 2 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P043,0,Fixed frequency 3 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P044,56,Fixed frequency 4 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P045,0,Fixed-frequency 1-4 inversion selection,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P046,55,Fixed frequency 5 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P047,0,Fixed frequency 6 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P048,0,Fixed frequency 7 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P049,0,Fixed frequency 8 (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P050,1,Fixed-frequency 5 inverted; 6-8 normal,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P051,18,DIN1 terminal 5 - fixed frequency 5 plus RUN,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P052,18,DIN2 terminal 6 - fixed frequency 4 plus RUN,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P053,0,DIN3 terminal 7 disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P054,0,DIN4 terminal 8 disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P055,0,DIN5 terminal 16 disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P056,0,Digital-input debounce - 12.5 ms,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P057,1,Digital-input watchdog interval (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P061,6,Relay RL1 - fault indication,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P062,8,Relay RL2 - warning active,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P063,1,External-brake release delay (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P064,1,External-brake stopping time (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P065,1,Current threshold for relay (A),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P066,100,Compound braking (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P069,1,Ramp extension enabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P070,4,Braking-resistor duty cycle - 100% (MMV only),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P071,0,Slip compensation (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P072,250,Slip limit (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P073,0,DC injection braking (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P074,1,I2t motor protection curve,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P075,0,External braking resistor not connected,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P076,0,"Pulse frequency - 16 kHz, normal modulation",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P077,1,FCC control mode,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P078,100,Continuous boost (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P079,50,Starting boost (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P080,0.80,Motor power factor,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P081,60,Motor nameplate frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P082,1725,Motor nameplate speed (RPM),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P083,3.2,Motor nameplate current (A),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P084,230,Motor nameplate voltage (V),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P085,1,Motor nameplate power (hp with P101=1),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P086,150,Motor current limit (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P087,0,Motor PTC disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P088,0,Automatic stator calibration inactive,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P089,4.6,Stator resistance (ohm),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P091,0,USS serial slave address,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P092,6,USS baud rate - 9600,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P093,0,Serial timeout disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P094,60,USS nominal system setpoint (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P095,0,USS compatibility - 0.1 Hz resolution,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P099,0,No option module,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P101,1,North American operation - 60 Hz / hp,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P111,1.01,"Inverter power rating (hp), read-only",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P112,6,Inverter type - MICROMASTER Vector,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P113,14,Drive model - MMV75/2,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P121,1,RUN button enabled when P007=1,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P122,1,Forward/reverse button enabled when P007=1,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P123,1,JOG button enabled when P007=1,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P124,1,Up/down buttons enabled when P007=1,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P125,1,Forward and reverse operation allowed,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P128,120,Fan switch-off delay (s),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P131,0,"Frequency setpoint (Hz), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P132,0,"Motor current (A), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P133,0,"Motor torque (%), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P134,303,"DC-link voltage (V), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P135,0,"Motor speed (RPM), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P137,0,"Output voltage (V), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P138,0,"Rotor/shaft frequency (Hz), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P139,0,Peak output-current record,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P140,231,Most recent fault - F231,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P141,231,Previous fault - F231,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P142,231,Second previous fault - F231,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P143,231,Third previous fault - F231,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P186,200,Instantaneous motor-current limit (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P201,0,PID closed-loop mode disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P202,1,PID proportional gain,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P203,0,PID integral gain,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P204,0,PID derivative gain,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P205,1,PID sample interval - 25 ms,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P206,0,PID transducer filtering off,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P207,100,PID integral capture range (%),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P208,0,Transducer type - direct acting,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P210,1.4,"Transducer reading (%), read-only snapshot",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P211,0,PID 0% setpoint,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P212,100,PID 100% setpoint,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P220,0,Frequency cutoff disabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P321,0,Analogue-input-2 minimum frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P322,60,Analogue-input-2 maximum frequency (Hz),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P323,0,Analogue input 2 - 0-10 V / 0-20 mA,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P356,6,DIN6 terminal 17 - fixed frequency 6,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P386,1,Vector speed-loop proportional gain,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P387,1,Vector speed-loop integral gain,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P720,0,Direct I/O functions - normal operation,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P721,0,"Analogue-input-1 voltage (V), read-only",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P722,0,Analogue-output-1 current (mA),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P723,0,Digital-input state (hex) - all inputs off,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P724,0,Direct relay control - both off,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P725,0,"Analogue-input-2 voltage (V), read-only",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P910,0,Local control mode,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P922,2.04,"Software version, read-only",S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P923,0,Equipment system/reference number,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P930,231,Most recent fault - F231 (copy of P140),S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P931,0,Most recent warning - none,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P944,0,Factory reset inactive,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
P971,1,EEPROM storage enabled,S08,RECORDED_SECONDARY_TRANSCRIPTION,PDF labels VFD7; related wiring conflicts with Drive6 reference,unknown,"Historical record, not recommended settings"
